post_title,post_content,sku,parent_sku,regular_price,weight,images,tax:product_brand,tax:product_gender,tax:product_collection,tax:product_productline,tax:product_type,tax:product_cat,meta:msrp_field,meta:upc_field,meta:attribute_pa_color,meta:attribute_pa_size,attribute:BigAndTall,attribute_data:BigAndTall,attribute:BraType,attribute_data:BraType,attribute:Closure,attribute_data:Closure,attribute:ControlLevel,attribute_data:ControlLevel,attribute:Fabric,attribute_data:Fabric,attribute:InnerPackQty,attribute_data:InnerPackQty,attribute:Inseam,attribute_data:Inseam,attribute:NeckDesign,attribute_data:NeckDesign,attribute:Silhouette,attribute_data:Silhouette,attribute:SleeveStyle,attribute_data:SleeveStyle,attribute:pa_color,attribute_data:pa_color,attribute:pa_size,attribute_data:pa_size
Hanes Mens Space Dye 4-Way Stretch Thermal Crewneck,"4-way stretch base layer crewneck provides easy movement and flexibility.  X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology attacks the odor-causing bacteria in clothing that causes clothing to smell ??so now you can feel fresh all day. Soft brushed microfiber fabric provides comfortable warmth for all day wear. Flat no rub seams feels smooth against the skin and helps prevent chafing. Size up for a roomier fit. For all-over warmth, pair with our matching thermal pant.",1203,,13.33,,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg | https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,Hanes,Men,Thermals,FreshIQ,variable,Men|Men > Thermal|Men > Thermal > Tops,,,,,,,,,,,,,88% polyester 12% spandex,2|1|0,1,5|1|0,,,Crewneck,3|1|0,,,Long Sleeve,4|1|0,Asphalt/Asphalt Space Dye|Peacoat/Peacoat Space Dye,1|1|1,2XL|L|M|S|XL,0|1|1
Hanes Mens Space Dye 5-Way Stretch Thermal Crewneck,,54936,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg,,,,,,,0,843347113862,Asphalt/Asphalt Space Dye,2XL,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 6-Way Stretch Thermal Crewneck,,54931,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,,,,,,,0,843347112001,Peacoat/Peacoat Space Dye,2XL,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 7-Way Stretch Thermal Crewneck,,54934,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg,,,,,,,0,843347113824,Asphalt/Asphalt Space Dye,L,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 8-Way Stretch Thermal Crewneck,,54929,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,,,,,,,0,843347113817,Peacoat/Peacoat Space Dye,L,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 9-Way Stretch Thermal Crewneck,,54933,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg,,,,,,,0,843347113800,Asphalt/Asphalt Space Dye,M,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 10-Way Stretch Thermal Crewneck,,54928,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,,,,,,,0,843347113794,Peacoat/Peacoat Space Dye,M,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 11-Way Stretch Thermal Crewneck,,54932,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg,,,,,,,0,843347113787,Asphalt/Asphalt Space Dye,S,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 12-Way Stretch Thermal Crewneck,,54927,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,,,,,,,0,843347113770,Peacoat/Peacoat Space Dye,S,,,,,,,,,,,,,,,,,,,,,,,,
Hanes Mens Space Dye 13-Way Stretch Thermal Crewneck,,54935,1203,13.33,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_AsphaltAsphaltSpaceDye.jpg,,,,,,,0,843347113848,Asphalt/Asphalt Space Dye,XL,,,,,,,,,,,,,,,,,,,,,,,,
