post_title,sku,parent_sku,meta:product_style,tax:product_type,meta:attribute_pa_size,attribute:pa_size,attribute_data:pa_size,meta:attribute_pa_color,attribute:pa_color,attribute_data:pa_color,meta:upc_field,regular_price,meta:msrp_field,Map_Required,weight,swIMG,URL1,URL2,URL3,URL4,post_content,tax:product_brand,tax:product_gender,Category,SubCategory,tax:product_collection,tax:product_productline,attribute:pa_fabric,attribute_data:pa_fabric,attribute:pa_neckdesign,attribute_data:pa_neckdesign,attribute:pa_sleevestyle,attribute_data:pa_sleevestyle,attribute:pa_bratype,attribute_data:pa_bratype,attribute:pa_closure,attribute_data:pa_closure,attribute:pa_controllevel,attribute_data:pa_controllevel,attribute:pa_silhouette,attribute_data:pa_silhouette,attribute:pa_bigandtall,attribute_data:pa_bigandtall,attribute:pa_inseam,attribute_data:pa_inseam,attribute:pa_innerpackqty,attribute_data:pa_innerpackqty,attribute:pa_countryoforigin,attribute_data:pa_countryoforigin,ParentImage
Hanes Mens Waffle Knit Thermal Crewneck,54722,1202,125439,,2XL,,,Heather Grey,,,00843347112070,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_HeatherGrey.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54723,1202,125439,,S,,,Natural,,,00843347111882,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HBI_28559_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54724,1202,125439,,M,,,Natural,,,00843347111936,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54725,1202,125439,,L,,,Natural,,,00843347111981,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/EBY_22803_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54726,1202,125439,,XL,,,Natural,,,00843347112032,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Waffle Knit Thermal Crewneck,54727,1202,125439,,2XL,,,Natural,,,00843347112087,7.61,0,0,0.52,https://nylimages.s3.amazonaws.com/HBI_125439_Natural.jpg,https://nylimages.s3.amazonaws.com/HNS_25439_Natural.jpg,NULL,NULL,NULL,Soft waffle knit thermal crewneck provides comfortable warmth for all day wear. X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology.,Hanes,Men,Thermal,Tops,Thermals,FreshIQ,60% organic cotton/40% polyester,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://nylimages.s3.amazonaws.com/HNS_25439_Black.jpg
Hanes Mens Space Dye 4-Way Stretch Thermal Crewneck,1203,,125462,,,S|M|L|XL|2XL,,,Peacoat/Peacoat Space Dye|Asphalt/Asphalt Space Dye,,,13.33,0,0,0.4,https://cdn1.nuorder.com/product/ef3f17e20555e0b0f5e25a29c65ebe73.jpg|https://cdn1.nuorder.com/product/154edc1b94edc174abc318a6e9709ac0.jpg,https://cdn1.nuorder.com/product/ef3f17e20555e0b0f5e25a29c65ebe73.jpg,NULL,NULL,NULL,"4-way stretch base layer crewneck provides easy movement and flexibility.  X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology attacks the odor-causing bacteria in clothing that causes clothing to smell — so now you can feel fresh all day. Soft brushed microfiber fabric provides comfortable warmth for all day wear. Flat no rub seams feels smooth against the skin and helps prevent chafing. Size up for a roomier fit. For all-over warmth, pair with our matching thermal pant.",Hanes,Men,Thermal,Tops,Thermals,FreshIQ,88% polyester 12% spandex,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://cdn1.nuorder.com/product/154edc1b94edc174abc318a6e9709ac0.jpg
Hanes Mens Space Dye 4-Way Stretch Thermal Crewneck,54927,1203,125462,,S,,,Peacoat/Peacoat Space Dye,,,00843347113770,13.33,0,0,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,https://cdn1.nuorder.com/product/ef3f17e20555e0b0f5e25a29c65ebe73.jpg,NULL,NULL,NULL,"4-way stretch base layer crewneck provides easy movement and flexibility.  X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology attacks the odor-causing bacteria in clothing that causes clothing to smell — so now you can feel fresh all day. Soft brushed microfiber fabric provides comfortable warmth for all day wear. Flat no rub seams feels smooth against the skin and helps prevent chafing. Size up for a roomier fit. For all-over warmth, pair with our matching thermal pant.",Hanes,Men,Thermal,Tops,Thermals,FreshIQ,88% polyester 12% spandex,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://cdn1.nuorder.com/product/154edc1b94edc174abc318a6e9709ac0.jpg
Hanes Mens Space Dye 4-Way Stretch Thermal Crewneck,54928,1203,125462,,M,,,Peacoat/Peacoat Space Dye,,,00843347113794,13.33,0,0,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,https://cdn1.nuorder.com/product/ef3f17e20555e0b0f5e25a29c65ebe73.jpg,NULL,NULL,NULL,"4-way stretch base layer crewneck provides easy movement and flexibility.  X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology attacks the odor-causing bacteria in clothing that causes clothing to smell — so now you can feel fresh all day. Soft brushed microfiber fabric provides comfortable warmth for all day wear. Flat no rub seams feels smooth against the skin and helps prevent chafing. Size up for a roomier fit. For all-over warmth, pair with our matching thermal pant.",Hanes,Men,Thermal,Tops,Thermals,FreshIQ,88% polyester 12% spandex,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://cdn1.nuorder.com/product/154edc1b94edc174abc318a6e9709ac0.jpg
Hanes Mens Space Dye 4-Way Stretch Thermal Crewneck,54929,1203,125462,,L,,,Peacoat/Peacoat Space Dye,,,00843347113817,13.33,0,0,0.4,https://nylimages.s3.amazonaws.com/HBI_125462_PeacoatPeacoatSpaceDye.jpg,https://cdn1.nuorder.com/product/ef3f17e20555e0b0f5e25a29c65ebe73.jpg,NULL,NULL,NULL,"4-way stretch base layer crewneck provides easy movement and flexibility.  X-Temp technology is designed to adapt to temperature and activity to keep you cool and dry for all day comfort. FreshIQ advanced odor protection technology attacks the odor-causing bacteria in clothing that causes clothing to smell — so now you can feel fresh all day. Soft brushed microfiber fabric provides comfortable warmth for all day wear. Flat no rub seams feels smooth against the skin and helps prevent chafing. Size up for a roomier fit. For all-over warmth, pair with our matching thermal pant.",Hanes,Men,Thermal,Tops,Thermals,FreshIQ,88% polyester 12% spandex,,Crewneck,,Long Sleeve,,,,,,,,,,,,,,1,,IMPORTED,,https://cdn1.nuorder.com/product/154edc1b94edc174abc318a6e9709ac0.jpg
