sku,parent_sku,meta:aws_url_field,meta:cdn_featured_image,meta:cdn_gallery_urls,meta:cdn_gallery_urls_0_cdn_gallery_link,meta:cdn_gallery_urls_1_cdn_gallery_link
4530,,,https://nylimages.s3.amazonaws.com/HNS_GF567586412_CandidBlue_Front.jpg,2,https://nylimages.s3.amazonaws.com/HNS_GF567586412_CandidBlue_Front.jpg,https://nylimages.s3.amazonaws.com/HNS_GF567586412_White_Front.jpg
#3343,4530,https://nylimages.s3.amazonaws.com/HNS_GF567586412_CandidBlue_Front.jpg,,,,
#420443,4530,https://nylimages.s3.amazonaws.com/HNS_GF567586412_White_Front.jpg,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
